id;team_identifier;ans_artifact;ans_correction_method_ica;ans_correction_method_ssp;ans_correction_method_cca;ans_correction_method_asr;ans_correction_method_unknown;ans_correction_method_other;ans_correction_method_desc;ans_ica_algo;ans_ica_algo_desc;ans_bad_comp_sel_visual;ans_bad_comp_sel_thresh;ans_bad_comp_sel_plugin;ans_bad_comp_sel_unknown;ans_bad_comp_sel_other;ans_bad_comp_sel_desc;ans_thresh_method;ans_plugin_desc;ans_artifact_corrected_eyeblink;ans_artifact_corrected_heye_mov;ans_artifact_corrected_muscle;ans_artifact_corrected_cardiac;ans_artifact_corrected_ch_noise;ans_artifact_corrected_line_noise;ans_artifact_corrected_unknown;ans_artifact_corrected_other;ans_artifact_corrected_desc;ans_artifact_other_hp;ans_artifact_comments;time_submitted
13;Kaiser Soze;1;1;0;0;0;0;0;;fastICA;;1;0;0;0;0;;;;1;1;0;0;0;0;0;0;;;;2022-05-09 23:14:43
14;bd3077a83b5b16bd;1;1;0;0;0;0;0;;fastICA;;0;0;0;0;1;We computed the EOG epochs and performed correlations between EOG activity and ICA components to identify eye-related artefacts;N/A;;1;1;0;0;0;0;0;0;;;;2022-05-09 23:35:46
15;bd3077a83b5b16bd;1;1;0;0;0;0;0;;fastICA;;0;0;0;0;1;We computed the EOG epochs and performed correlations between EOG activity and ICA components to identify eye-related artefacts;N/A;;1;1;0;0;0;0;0;0;;;;2022-05-09 23:35:47
16;0c87f7355ce7ec6d;1;1;0;0;0;0;0;;fastICA;;1;0;0;0;1;Visual inspection based on time course, topography, and coherence with EOG channels;;;1;1;0;0;0;0;0;0;;;;2022-05-09 23:40:22
17;f5e788cb73eec086;0;0;0;0;0;0;0;;;;0;0;0;0;0;;;;0;0;0;0;0;0;0;0;;;I did not apply any artefact rejection on the data.;2022-05-09 23:43:52
18;ENSLab;1;1;0;0;0;0;0;;ex_infomax;;1;0;1;0;0;;;ICLabel;1;1;1;0;1;0;0;0;;;;2022-05-10 08:30:07
19;7f3fe2bc79a9d3f9;0;0;0;0;0;0;0;;;;0;0;0;0;0;;;;0;0;0;0;0;0;0;0;;;;2022-05-10 10:07:01
20;344dd59ded90cb34;1;1;0;0;0;0;0;;fastICA;;1;0;0;0;0;;n.a.;;1;1;0;0;0;0;0;0;;;;2022-05-10 11:54:49
21;344dd59ded90cb34;1;1;0;0;0;0;0;;fastICA;;1;0;0;0;0;;n.a.;;1;1;0;0;0;0;0;0;;;Note that we applied the ICA to strongly high and low pass filtered data (1Hz and 40hz), but then removed these components from the unfiltered data;2022-05-10 11:56:20
22;04b28b5356eb17bd;1;1;0;0;0;0;0;;infomax;runica;0;0;1;0;0;;;ICLabel;1;1;0;0;0;0;0;0;;;;2022-05-10 12:09:12
23;baba120af1f1caca;1;1;0;0;0;0;0;;infomax;;0;0;1;0;0;;ICLabel excludes components based on threshold of similarity between the component and the relative flag. ICLabel uses 7 flags where I set up the follwing range of similarities value percentage for re;ICLabel;1;1;1;1;1;1;0;0;;;;2022-05-10 12:11:01
24;1497d4b19bba4f30;1;1;0;0;0;0;0;;ex_infomax;;1;0;0;0;0;;;;1;1;0;1;0;1;0;0;;;;2022-05-10 12:28:37
25;1e41774b7169df7d;1;1;0;0;0;0;0;;unknown;Default method in Fieldtrip;1;0;0;0;0;;N/A;;1;1;1;1;1;0;0;0;;;;2022-05-10 12:42:19
26;CIMHPipe;1;1;0;0;0;0;0;;picard;;0;0;1;0;0;;automatically look for highest correlation from EOG channels to component;mne.preprocessing.ICA;1;1;0;0;0;0;0;0;;;;2022-05-10 13:10:59
27;962658984e31030d;1;1;0;0;0;0;0;;unknown;;0;0;1;0;0;;N/A;ADJUSTd;1;1;0;0;0;0;0;1;Data discontinuities;;;2022-05-10 15:26:31
28;b78245f9464a1398;1;1;0;0;0;0;0;;infomax;;1;0;0;0;0;; ;;1;1;1;1;0;0;0;0;;;;2022-05-10 15:38:23
29;d18fa8d3caaf88cf;1;1;0;0;0;0;0;;ex_infomax;;1;0;0;0;0;;N/A;;1;1;1;0;1;1;0;0;;;;2022-05-10 16:32:58
30;19068f1fe266c5e1;1;1;0;0;0;0;0;;ex_infomax;;0;0;1;0;0;;;pop_runica;1;0;0;0;0;0;0;0;;N/A;No ICA components were detected ;2022-05-10 16:41:28
31;93af9133e6fa6cf5;1;1;0;0;0;0;0;;unknown;;1;0;1;0;0;;;ICLabel;1;1;1;0;1;1;0;0;;;;2022-05-10 17:14:40
32;4e65b329e7e27005;1;1;0;0;0;0;0;;amica;;0;0;1;0;0;;"More than 90% probability of being a muscle component 
Components that were classified as most probably being an eye component (no threshold).";ICLabel;1;1;1;0;0;0;0;0;;;"The ICA was performed on continuous 1Hz high-pass filtered data, in which we removed periods where no marker was present for more than 5 seconds, and which was downsampled to 100 Hz.
The weights were";2022-05-10 17:30:53
33;02b9138753429402;0;0;0;0;0;0;0;;;;0;0;0;0;0;;;;0;0;0;0;0;0;0;0;;;;2022-05-10 17:46:10
34;02b9138753429402;0;0;0;0;0;0;0;;;;0;0;0;0;0;;;;0;0;0;0;0;0;0;0;;;;2022-05-10 17:46:19
35;92eff34d631e5d43;1;1;0;0;0;0;0;;ex_infomax;;1;0;1;0;0;;;ICLabel;1;1;1;1;1;1;0;0;;;;2022-05-10 18:20:41
36;463594c97c98f36d;1;1;0;0;0;0;0;;infomax;;1;0;0;0;0;;;;1;1;0;0;0;0;0;0;;;;2022-05-10 18:29:30
37;0bc9ee704db74104;1;1;0;0;0;0;0;;fastICA;;1;0;0;0;1;Manual selection was guided by correlation of ICs with EOG channels (VEOG, HEOG) ;;;1;1;0;0;0;0;0;0;;;;2022-05-10 18:31:31
38;SCNeurophysiologyLab;1;1;0;0;0;0;0;;infomax;;1;0;0;0;0;;;;1;1;1;1;1;1;0;1;Sweating;;;2022-05-10 19:01:16
39;4dc16bcffc6daf9b;1;1;0;0;0;0;0;;fastICA;;0;0;1;0;0;;;ICLabel;1;1;1;1;1;0;1;0;;;;2022-05-10 19:05:38
40;724143462c318037;1;1;0;1;0;0;0;;infomax;;1;1;1;0;0;;ICA components that were labeled as an eye component with at least 80% confidence by EEGLAB were identified as bad components. If the canonical correlation between a component and any one of the EOG s;pop_runica;1;1;0;0;0;0;0;0;;;;2022-05-10 20:40:00
41;a0cf32754296214f;1;1;0;0;0;0;0;;fastICA;;0;1;0;0;0;;similarity more than 2 standard deviations above the mean value of the similarities to vEOG and hEOG;;1;1;0;0;0;0;0;0;;;;2022-05-10 21:39:07
42;cba9657d4b55f7ca;1;1;0;0;0;0;0;;ex_infomax;;1;0;1;0;0;;;SASICA;1;1;1;0;1;0;0;1;Rare events (focal trial activity);;;2022-05-11 00:40:15
43;TMS-EEG-DREAM;1;1;0;0;0;0;0;;fastICA;;0;0;1;0;0;;"we used ""EEGlab-IClabel"" to remove components above 90% likelihood of being either Muscle, eye, heart, line noise, or channel noise";;1;1;1;1;1;1;0;0;;;;2022-05-11 02:11:03
44;3c3e6dcb5308c22e;1;1;0;0;0;0;0;;other;CUDAICA;1;0;0;0;0;;;;1;1;0;0;0;0;0;0;;;;2022-05-11 06:32:19
45;CognitiveSystems-KU;1;1;0;0;0;0;0;;amica;;0;0;1;0;0;;With ICLabel, components classified as EYE or MUSCLE with a probability of higher than 0.8 were identified as bad components and removed.;ICLabel;1;1;1;0;0;0;0;0;;;;2022-05-11 09:02:07
46;d9a070789fe1b133;1;1;0;0;0;0;0;;ex_infomax;;0;0;1;0;0;;We did not use thresholding method.;ICLabel;1;1;0;0;1;0;0;0;;;EEGLAB;2022-05-11 10:13:12
47;53e7528dd1a9b39c;1;1;0;0;0;0;0;;amica;;0;0;1;0;0;;"Plugin: ICLabel
If the most dominant vector of the IC was labeled as class ""Muscle"", ""Eye"", ""Heart"", ""Line Noise"", or ""Channel Noise"", the respective IC was excluded.";ICLabel;1;1;1;1;1;1;0;0;;;;2022-05-11 10:51:58
48;832639794ec94f87;1;1;0;0;0;0;0;;infomax;;1;0;0;0;0;;;;1;1;0;1;1;0;0;0;;;We run ICA with 0.5Hz high-pass filtered data with bad segments removed. However, we then back-projected the data to non-highpass filtered data and all the epochs. Afterwards, we did the visual inspec;2022-05-11 12:05:38
49;f68b7096e0e9c0d2;1;1;0;0;0;0;0;;infomax;;0;0;1;0;0;;"components that were identified as component ""eye"" with a likelihood of over 30%";ICLabel;1;1;0;0;0;0;0;0;;;;2022-05-11 13:56:25
50;0ba1c7f1dafc1134;1;1;0;0;0;0;0;;fastICA;;0;0;1;0;0;;;MNE;1;1;0;0;0;0;0;0;;;;2022-05-11 14:03:15
51;c58937f04a3551aa;1;1;0;0;0;0;0;;infomax;;1;0;0;0;0;;;;1;1;0;1;0;1;0;0;;;;2022-05-11 14:20:30
52;gNeC;1;1;0;0;1;0;0;;unknown;;0;1;1;0;0;;In ASR, data segments were corrected if they deviated 20 standard deviations from the clean segments.;MARA;1;1;1;0;1;0;0;0;;;;2022-05-11 14:31:15
53;93bb9e17b21ac1b6;1;0;0;0;0;0;1;Ocular Correction Gratton & Coles, Raw Data Inspection, Artifact Rejection;;;0;0;1;0;0;;In the first artefact correction ocular artefacts were corrected using the ocular correction from Gratton & Coles with the following settings (implemented in Brain Vision Analyzer, Version 2.1.2.327):;Brain Vision Analyzer;1;1;1;1;1;1;0;0;;;;2022-05-11 16:03:12
54;8b8bb53a403750d9;1;1;0;0;0;0;0;;infomax;;1;0;1;0;0;;no;ICLabel;1;1;0;1;0;0;0;0;;no;no;2022-05-11 16:16:46
55;c1a5013b850d9b0a;1;1;0;0;0;0;0;;fastICA;;1;0;0;0;0;;;;1;0;0;0;0;0;0;0;;;;2022-05-11 16:30:49
56;694028366488e777;1;1;0;0;0;0;0;;infomax;;1;0;0;0;0;;;;1;1;0;1;1;0;0;0;;;;2022-05-11 16:55:17
57;The Hanncanny;1;1;0;0;0;0;0;;infomax;;1;0;1;0;0;;;SASICA;1;1;1;0;1;0;0;0;;;;2022-05-11 16:58:24
