chan,018ab79008f2e342,04b28b5356eb17bd,0a0e092a0c1e6c8f,1291ad7d784e90e5,129c99e90c45f38c,13bef9b0362773b3,1559fd3bafe5582c,19068f1fe266c5e1_1,223dfd3c429d0e79,26ab3771b0c195f5,27a31ff4f251781a,2968df3b1e9bd676,2e6f06d6e89db2ca,2f7c7b90372f9c9e,3036fe9bffd01a2a,356c77bfd2662b9a_H1,356c77bfd2662b9a_H3,37ddc3bdb7342c83,3b8a90cfec1e6dab,4dc16bcffc6daf9b,4e65b329e7e27005,4f94a7cff1582ba8,533a774ad52b045,53e7528dd1a9b39c,5739286752f82402,5a5918ffce98de10,60197350a0c2b888,6cfb6838a570c17c,724143462c318037,791ae888506dc374,7c793519c38db522,7d5750a1b70460c2,80d914dc5270b2e7,8107271d26b4e6ce,841f7d890725a452,861c06b5c483cd72,8b8bb53a403750d9,8d9ffe6a6752d2af,91ce1477c08b672c,92eff34d631e5d43,93af9133e6fa6cf5,9ab142ee3786b57b,9c490673610ca32b,CognitiveSystems-KU,ENSLab,TMS-EEG-DREAM,The Hanncanny,a28bd183f8dca47f,ac0f676d6813a969,b3a91f02d3e5a9b0,b47e0e61375f4d31,ba2732f7a065a4b9,baba120af1f1caca,cba9657d4b55f7ca,d18fa8d3caaf88cf,d5c8ed05b7af02a3,d9a070789fe1b133,db40ed62b3cf9ae9,dc50b9e1e4c36653,e37fd347e252962c,ee3fdc470061d8db,f2101fb6fdd45635,f68b7096e0e9c0d2,fc67513ed5c4b400,ff8cd5ce3123a097,gNeC,08de3c5e092173e4,0ba1c7f1dafc1134,0bc9ee704db74104,19e8ad8bf94af489,344dd59ded90cb34,48e64dc185199502,628a18bc8a3d36dd,77fddd91c557626d,7f3fe2bc79a9d3f9,8559e4d7314e45ec,8c587a4cbf53865d,90420442f22fa870,CIMHPipe,TheCodeMechanics,Varuwa,a0cf32754296214f,a25b8419335d2131,aa6aa366e9788967,b0edd369b6d8f4f1,bd3077a83b5b16bd,c0c75576f9cd0b2a,c577d3cdf78548ce,c91e489c4acd0bf4,da33cf2264c9baa2,e13e7e07b99d853b,e146a94b29a41713,e2d0d90e5cf594ed,e69a83408d1f3811,e72d90a6ff4b5108,ea6b1d1870708b82,ee8c062e3dc35b1d,eef1406b3fca3e9c,f92a1d6a49d0d40a,ff8bf48d04d11c84,02b9138753429402,03f53ea2afe035fd,0c87f7355ce7ec6d,3c8c07696fbd0314,3dc2c5916354971b,Chile Maule,Kaiser Soze,TeamKeele,aaaaf00cc3912121,ae58d64de88cfd4e,b78245f9464a1398,d58e77448897a421,f51bd6c2779b2256
Fp1,-0.482747358458135,-1.89005723234379,-3.78668538040736,-2.50958933976639,-1.61086496985706,-1.61868532973832,-1.10985057993931,-0.969603827990844,NaN,NaN,-1.26470656836318,-3.37258740935964,0.401059450827436,-2.32677070275531,-1.93579396202859,NaN,NaN,-0.42782143754426,-2.45235198322639,-3.59973240405136,-3.01789161555394,-3.20372905621187,0.370555353181606,-4.86753039411205,2.76858394857773,-0.836537991432003,-0.0949793399636154,-3.81995966013254,-2.58510102699806,0.465281328816682,-0.975748579250649,-4.78676444734382,-3.14363271002106,-0.511363772644505,-3.75196062687774,-2.02395372181751,-4.25241998137686,-0.705140769943472,-2.04314806240261,-0.312609263021979,-1.53574600576357,-1.7732717743769,1.05944827222854,1.0672162520409,-3.80734420102288,-3.94172456398729,-0.0406667882776704,-4.21869192449966,-4.51318973504965,-0.569108251513998,-3.01058915521008,-4.13908443197392,-1.00680858369727,-1.44015702378532,-2.65018424019859,2.51516740514223e-06,-1.713169487927,0.612878804324793,-0.443142698791658,-0.454805205641973,NaN,-0.360660955996173,-2.00021822441068,-1.04397859458307,-0.120217621116548,0.780231669611025,NaN,-8.39437583557221e-06,4.28338188726334e-07,2.42208390605128e-07,NaN,-4.17748901652844e-06,-8.33086343990627e-07,-1.02290172177e-06,1.98317426846836e-06,-1.50854819193652e-07,-3.02675394652163e-06,8.42032863139034e-07,-1.96374058530733e-06,-5.70652095909667e-06,6.42464837101663e-07,-3.75375921828953e-06,1.22204976099436e-06,-1.26954384244317e-06,6.86841294896285e-07,-9.52727270597472e-07,-2.59562012793639e-06,NaN,-8.82062578386487e-07,-2.45087844039851e-07,-5.29406178822517e-06,-1.44752526840407e-06,NaN,2.94349739120166e-06,-2.26816249409585e-07,-2.05805033911846e-06,-6.53261686953542e-07,1.74037069356599e-06,5.76776126119209e-07,-3.56468502786811e-06,NaN,2.56416022686368,0.303732551683534,NaN,-1.65827628760162,0.383152083597281,-2.02962406954172,-2.14430272508551,-3.61438974390589,0.319378500199312,2.52871881573901,0.364082872916808,-0.51806171131567
AF7,-0.405042239116749,-1.89395742895401,-3.47907461625326,-2.40304487595579,-1.74045558253331,-1.61224396969128,-1.45833233400851,-1.08277010588441,NaN,NaN,-1.3678670891192,-3.14595168783809,0.40532189997178,-2.66810492682337,-2.16110420945768,NaN,NaN,-0.338781298166423,-2.02223106101155,-3.35528823803628,-3.17941676266491,-3.1475154731125,0.253321737163898,-3.41772309959848,2.31543966723457,-0.797999533205665,-1.02650181051298,-3.70492789405334,-2.64884060955306,0.434403384452441,-0.953805773438944,-4.13784988852059,-3.08273619276243,-0.671049171742714,-3.75979518885763,-1.67102242065671,-4.29617765669508,-0.696140341862867,-1.82734135666108,-0.697793900190542,-1.4637346291924,-1.57001406344764,1.04870915400318,1.13259458975266,-3.56201679568568,-3.72711147101578,-0.108114865511501,-4.13734207501425,-4.71236317681942,-0.634618953570184,-3.12109020190729,-4.00938659496913,-0.919091947843565,-1.56935131307597,-2.59997879185639,1.49938921162008e-06,-1.4855599624641,0.553987615752052,-0.609592775257494,-0.56207392076877,-2.12832538109432,-0.283648359607879,-1.86479411413893,-1.10750466553145,-0.0512283155928064,0.642200129285379,NaN,-8.57431118537065e-06,1.19813870327302e-08,3.02942762612142e-07,NaN,-3.71102681190843e-06,-9.35423227200648e-07,-1.312227742023e-06,2.12725570642733e-06,3.39522625018052e-07,-2.7296784320573e-06,5.40729761174437e-07,-1.74456109620366e-06,-5.78862706089295e-06,NaN,-3.53257245699228e-06,2.93760107202464e-07,-1.08968449681739e-06,4.57103238385016e-07,-1.51740632611219e-06,-1.97530574824913e-06,NaN,-7.14187646333648e-07,-1.50241147025016e-07,NaN,-1.51641170580688e-06,NaN,2.26803539849277e-06,-4.88032729640784e-07,-1.84602572969342e-06,-6.14164742335726e-07,1.66372369682997e-06,8.15163593999428e-07,-3.78972615067141e-06,NaN,2.4051531171547,0.201368090384514,NaN,-1.60070448043321,0.699562723611241,-2.02301481310536,-2.00547999317198,-3.65114472588532,0.303464511377439,2.20347753670402,0.442721432534678,-0.489633040689306
AF3,-0.24317708814686,-2.10734209677938,-3.58616614064221,-2.47725476653814,-1.72622912073256,-1.92307428885046,-1.63779942439423,-1.12724174970412,NaN,NaN,-1.22628528193066,-3.44560689950889,0.380563800479968,-2.61975213417529,-2.12628727977375,NaN,NaN,-0.458305294954717,-2.31794958670313,-3.69049524494316,-3.42420018167056,-3.0933674199522,0.433575068083074,-2.49278176077141,2.44695747676549,-0.96874237749546,1.38263671624041,-3.71383642233407,-2.55576739480755,0.344208902331314,-0.511576554039493,-2.26474425949916,-3.39012712151962,-0.391264471127707,-3.70801642949926,-1.96113018664857,-3.27305366052699,-0.969977991765791,-2.15419613012336,-0.343151993964883,-1.87843773606459,-1.85138706513916,-0.0513024709835714,1.1002958681983,-3.7874725483985,-3.96801161589024,0.169768937679967,-4.08998890469472,-4.00229836218999,-0.482382578381062,-3.15520970790183,-3.89934852232864,-1.28248468821755,-1.7961211342675,-2.77566677990681,3.09202578695751e-07,-1.79835761304606,0.599356209689921,-0.435347610874199,-0.283977485506447,-2.51086965018817,-0.430539988450829,-1.94035825959637,-1.35624835463265,-0.126766413650817,0.699543333490087,NaN,-8.71766208161496e-06,4.21596202604414e-07,5.49324790936827e-07,NaN,-4.20967317936155e-06,-9.83721891447148e-07,-1.49078608746578e-06,1.13284237489676e-06,6.57649034623892e-07,-2.65248375409432e-06,1.0334342776197e-06,-2.18267185831013e-06,-6.11202592160749e-06,6.36396296145718e-07,-3.87855513007583e-06,3.76706866858561e-07,-1.27538703859233e-06,9.71385269648959e-07,-1.12590721424898e-06,-1.75383705349887e-06,NaN,-3.32727520475569e-07,5.96091765308329e-08,NaN,-1.43072734524387e-06,-1.66733867849079e-06,2.43100147247505e-06,-2.74614457739994e-07,-2.05753584265956e-06,-8.98517843347346e-07,5.26662870890184e-07,7.61000690503848e-07,-3.67844998123701e-06,1.37340346018104,2.77379745695225,0.50352692814209,NaN,-1.57163705959816,0.506566401191043,-2.01442403401791,-1.86308355402529,-3.58338480451899,0.487923416203095,2.49389363013018,1.06847516987979,-0.282827127721819
F1,-0.348788831278334,-2.58667681796707,-3.90074588473171,-2.65117015469481,-2.19295299692888,-2.4195810366504,-2.31046414931508,-1.54953467974585,-0.0252787754069193,-3.05941489050755,-1.5011081158494,-3.86638230969659,0.295472364752794,-2.95342311233716,-2.6307079403125,NaN,NaN,-0.452911047029751,-2.45204078685492,-3.98650865134149,-3.79042943781524,-3.41259332251101,0.242778106543207,-0.0896543736464393,1.736112910192,-1.26663049178316,-0.866996398712598,-3.94872812365835,-2.86945967207414,0.183302615564599,-0.59453011067914,-1.18929186784701,-3.80861891977301,-0.531655619930137,-4.03452613417152,-2.21926772969547,-3.91144223405259,-1.25608770128791,-2.46588293147548,-0.602111889049411,-2.33780535567326,-2.06949620139832,-1.13882534708594,1.10332316065956,-4.00220318625427,-4.20003341700235,0.123719006781941,-4.36659122562195,-3.70697329468217,-0.558446847989795,-3.63126419568255,-4.14661965779857,-1.75903688537926,-2.36437947824221,-3.15910335778472,-1.47316179687389e-06,-1.95227286242174,0.401699440120193,-0.626443694045475,-0.477338604819538,-3.13261062608963,-0.661668062611283,-2.31901868466039,-1.80261179744654,-0.213962396593297,0.435752826705199,2.50718275772041e-06,-8.96385781795123e-06,7.43759054715595e-07,8.28437066304564e-07,-2.93122575402721e-06,-4.07311637864247e-06,-1.03693511999126e-06,-1.75756396048055e-06,5.57480284157919e-07,1.23487921559742e-06,-2.52923177437438e-06,1.07600196533516e-06,-2.43578583597975e-06,-6.23927063646657e-06,8.83054124906921e-07,-4.47917192521648e-06,-2.36326428191135e-07,-1.29100405732777e-06,1.34324244290459e-06,-1.13863449535005e-06,-1.19487669235069e-06,-5.00602657315209e-06,-2.79931738465872e-07,1.94359000758912e-07,NaN,-1.43799944138126e-06,-1.71761662283064e-06,2.34312637753026e-06,-2.27457499373108e-07,-2.06651069422855e-06,-1.00300340951283e-06,-7.97727078629819e-07,9.37249406112442e-07,-3.67880734852832e-06,1.37546006379806,2.58558706061952,0.416679134738957,NaN,-1.76713175275872,0.373954358661718,-2.43210148978132,-2.00986771492254,-4.00816813927368,0.310175805819101,2.41818542697366,1.298213596758,-0.472652614214731
F3,-0.32129334510043,-2.14638957840354,-3.60536096506573,-2.588758177044,-1.86339074912283,-1.9647922711139,-1.93004423796335,-1.29678414355343,-0.0090674841763662,NaN,-1.34330665723731,-3.52641990359383,0.302933206429027,-2.71069249301664,-2.35660643015772,NaN,NaN,-0.473500972409084,-2.10072527098514,-3.67806573097207,-3.44323656738105,-2.99267105569873,0.309008694209177,-0.557676712780955,1.9326586979762,-1.07650151477415,0.577622606150919,-3.61583908786741,-2.58146165963006,0.19552320151618,-0.560779293005908,-1.18247796830076,-3.48813985953154,-0.388569419713174,-3.61288411409361,-1.89952052237348,-3.43038587499995,-1.12267849386379,-2.06711537493059,-0.519348080531045,-2.0572405737646,-1.78820623085608,-0.653825787351831,1.13335931372938,-3.69098949388453,-3.89257256309797,0.1889489568654,-3.99472861586411,-3.72202687174232,-0.407307154805907,-3.23940954923377,-3.7426064620949,-1.36551631470634,-1.99500352009717,-2.90009414895179,NaN,-1.63123606100227,0.418769410754921,-0.524051697566828,-0.449417979647203,-2.76288697861787,-0.476813750926818,-1.88736819029983,-1.56612758584591,-0.132537374424423,0.53255132338352,2.53055449999669e-06,-8.64274898565947e-06,5.54863333252357e-07,5.89680547310904e-07,-2.07961601178698e-06,-3.55599044739434e-06,-9.51762727297023e-07,-1.18177937036279e-06,8.31797626601931e-07,7.1486389658993e-07,-2.16856513357903e-06,8.30370175819439e-07,-1.95610714556844e-06,-5.84029362729862e-06,5.24862745804154e-07,-3.46599412588815e-06,-2.42102971286845e-07,-1.0086883062682e-06,9.75469212422144e-07,-1.20950813087609e-06,-1.0640381813084e-06,-4.90235665858673e-06,-1.94259557413404e-07,1.8425318213927e-08,-5.47537115208439e-06,-1.33021428334332e-06,-1.48417683864078e-06,2.0765417231115e-06,-2.42567532540436e-07,-1.68938810652504e-06,-7.81791865992173e-07,-6.21921327662623e-07,1.10955009144123e-06,-3.68608832275186e-06,1.39391556439517,2.59590099803168,0.442894724414558,NaN,-1.55728745352019,0.413908616378542,-1.97600697614669,-1.83155008322569,-3.48159057728106,0.328427734589121,2.40432665735036,1.28347431832419,-0.31163562615518
F5,-0.203880386634005,-1.7445742366177,-3.15615925049842,-2.40674283455309,-1.56265177886293,-1.60622634483147,-1.55448247796932,-1.07740830871897,-0.0327433521446282,NaN,-1.12858792239179,-3.12374456509927,0.296336900159791,-2.49474020600742,-2.04766448297434,NaN,NaN,-0.334235277224445,-1.78098752875147,-3.32108455261128,-3.14155709116033,-2.66301229244262,0.411269090782776,-1.08622591776681,2.10717858070862,-0.877535655035428,0.166812061339863,-3.29460937582141,-2.35374317182993,0.328091152977772,-0.315185765794013,-1.09452228806528,-3.16140252188074,-0.170975275577549,-3.2688825166638,-1.36256574429366,-2.91128197509908,-0.944655740110219,-1.70254545692437,-0.252716283924229,-1.74828430114671,-1.5718778936484,-0.297580709114679,1.18998888028772,-3.38330944277153,-3.65096674099072,0.285144118579315,-3.64115938949642,-3.85270213382262,-0.290269657339443,-2.89296949388505,-3.40608986997182,-1.11903281950138,-1.66338832416769,-2.53854512630066,-5.30815584488877e-07,-1.49869876716173,0.452749647107745,-0.353973877491794,-0.250056668278771,-2.3605246579838,-0.378055088668446,-1.52981884916539,-1.2145207435921,-0.0165121618563773,0.669514091835931,NaN,-8.49740263849955e-06,4.00405702422786e-07,4.195158203507e-07,NaN,-3.20747294367583e-06,-1.05942124913176e-06,-9.35798389889442e-07,1.02309786942704e-06,2.09568697372195e-07,-1.88532026954434e-06,6.46477355992214e-07,-1.57464927244134e-06,-5.41804691218403e-06,3.93288647561287e-07,-3.03581593598348e-06,-3.96066159895894e-07,-8.62542033918213e-07,5.9774554448254e-07,-1.35816324586813e-06,-8.9239840610758e-07,NaN,-5.67643317803361e-08,-6.10636203420127e-08,NaN,-1.3163415130438e-06,-1.34058450856059e-06,1.72237124963739e-06,-3.39708291547015e-07,-1.38704392047416e-06,-6.03771659147049e-07,-9.06595420419211e-08,1.22261744195384e-06,-3.64930428323381e-06,NaN,2.62203300001192,0.478969057314851,-0.910080822244504,-1.30108434467556,0.557691962494706,-1.60110195037594,-1.70702171686819,-3.15255526544528,0.42016661558148,2.42083689286791,1.32268439737066,-0.100296323552728
F7,-0.346102139677363,-1.72535984661204,-2.98181993482315,-2.29531532482743,-1.54187508035763,-1.65324214886433,-1.55886416620122,-1.07582109762356,-0.327905380374883,-2.39287172761276,-1.26755083487175,-2.97313380026908,0.384897623940147,-2.62663471167616,-2.18019116080526,NaN,NaN,-0.19248498048671,-1.52320896430562,-3.17769683673516,-2.95139573175799,-2.64457303704309,0.278020409829538,-1.10069940606525,1.83630201368806,-0.741210993223493,1.0189019325696,-3.24987152172637,-2.41932513547892,0.363302598575676,-0.336189709273943,-1.46943683833648,-2.92146444659598,-0.356611807443447,-3.38859372955462,-1.24486561271185,-3.0177975658625,-0.69070970012916,-1.4546539885872,-0.48002452719745,-1.50301673220508,-1.30611250993109,0.113616590510381,1.23846578159665,-3.12338453631806,-3.35886289152771,0.0845852673596371,-3.62490496045548,-3.9750907059628,-0.465566722938092,-2.90686446733945,-3.45553359066998,-0.903497308577326,-1.64284020521198,-2.51990616222659,-4.29359115875208e-07,-1.18686115397423,0.383186647665915,-0.528770477349354,-0.405783068428681,-2.26953958814304,-0.213460462455209,-1.42434222504704,-1.11312499661775,0.0466626704718368,0.441396523379918,NaN,-8.36760540361347e-06,1.7601851263429e-07,4.71845892778534e-07,NaN,-2.87509759246087e-06,-1.05614613426558e-06,-3.82268919851825e-08,1.58604085243041e-06,3.12376541145694e-07,-1.88744253950007e-06,5.27044418345094e-07,-1.14358669292463e-06,-5.09961287646506e-06,4.62787844948266e-07,-2.28386334060126e-06,-3.72875960465105e-07,-8.10097348394575e-07,3.55540050249333e-07,-1.56145878137157e-06,-9.8783908256044e-07,-4.97211300915462e-06,-2.3813892941707e-07,2.31104724582909e-08,-4.61356809079338e-06,-1.31317008650154e-06,NaN,1.58907726094225e-06,-3.6885726834203e-07,-1.21831911503386e-06,-4.33105566925592e-07,5.05900860651199e-07,1.44515654914966e-06,-3.63034845160352e-06,1.31784659675887,2.29958142894717,0.391010896122775,NaN,-1.31689924085937,0.658590289436438,-1.49963558735319,-1.84025279475459,-3.22292860612367,0.265973810599861,2.1059536311759,1.04532475208905,-0.332959987634242
FT7,-0.153620337700528,-1.27648753661549,-2.48128343840139,-2.32847549585917,-1.19923615396832,-1.1623905714888,-1.2903428222022,-0.737153830882938,-0.034370969610222,-2.03877108853013,-1.22604461326652,-2.57272502015147,0.373648134335497,-2.24417410939085,-1.94893823195522,NaN,NaN,0.0775376666581841,-0.759533139832673,-2.59428088142236,-2.54990637405409,-2.14937591539906,0.336460871744261,-0.112869214256597,1.63207297228304,-0.478137901019119,-2.0898664911488,-2.67028868019506,-2.10970799411203,0.486128859066715,-0.163595128637098,-0.207371912869694,-2.57665128829394,-0.207182221149668,-2.76659143048008,-0.745742203970504,-2.75783302754513,-0.49024206438851,-1.10969794123721,-0.492651025228428,-1.08643888630387,-1.00722926422322,-0.182231818390629,1.56896820292054,-2.64721461149615,-2.79856802849484,0.325012488199588,-3.02582036066523,-2.89681417586662,-0.067900636272415,-2.50985271419134,-2.79292117474478,-0.765847952490804,-1.22484193263444,-2.19632564995633,NaN,-0.592097045007077,0.409910151126895,-0.153984256437659,-0.200218891555613,-2.05023470401415,-0.225970022098774,-0.958810537352669,-0.810285909848365,0.182257988291512,0.545686970120968,NaN,-7.47172814619785e-06,6.99107459906971e-07,6.40682516671021e-07,NaN,-1.97545081362298e-06,-8.82612278320666e-07,8.43055580526664e-07,1.81774005761107e-06,-8.41357994183702e-08,-1.26667220486225e-06,3.24846526359816e-07,-3.93992124259057e-07,-3.84624368664252e-06,NaN,-1.59101448234237e-06,-7.12213402503095e-07,-5.10664638925408e-07,2.65984939285989e-07,-1.3202574100915e-06,-1.38336956220197e-07,-2.35133514662907e-06,1.15581788483119e-07,1.14731499331358e-07,-3.52066862160686e-06,-1.06443303765804e-06,NaN,1.26953476192232e-06,-4.70152668338272e-07,-4.77338213077484e-07,-1.8820479052658e-07,-8.74624446672015e-08,1.70282016419991e-06,-2.85401848572064e-06,1.6651488832862,2.16087370656316,NaN,NaN,-0.970253035627085,NaN,-0.988544773060847,-1.73707975547481,-2.65149746249821,0.21587579586757,2.10829570034146,1.39235949167831,-0.255481806203121
FC5,-0.297406194491707,-1.60040434036931,-2.90105701411952,-2.58462348963002,-1.42760341086735,-1.43626744042314,-1.54536283593246,-1.01788300406847,-0.0222870692862172,NaN,-1.46222859114156,-2.86352972172652,0.174639578907683,-2.36381225026972,-2.27286648157645,NaN,NaN,-0.169126971431942,-1.27059914619618,-3.02471732863766,-2.9324424592684,-2.4161558694786,0.169921163061511,-0.322511891506038,1.45528836063938,-0.824640930907354,-1.53406906681175,-3.03150397457039,-2.36321918926004,0.124940638863152,-0.368851558681248,-0.483963277883643,-2.92544816023113,-0.41382261655609,-2.95128841151046,-1.17200700561041,-3.11420365113678,-0.82318786450613,-1.38417008357538,-0.754056374457749,-1.47539963925991,-1.19821203257089,-0.586471625768779,1.34767152169432,-2.98198377108813,-3.17731774391057,0.160963627027435,-3.37144095751331,-2.87327929556262,-0.131483959321155,-2.76143903552603,-3.12768193544722,-1.0797134502297,-1.53455159488379,-2.44457113592739,-1.44459810685914e-06,-0.571097796133748,0.110166703653426,-0.280165655245958,-0.488904130687429,-2.44293623709584,-0.459244612662106,-1.31132056725428,-1.14819502845542,0.171209092079716,0.423084743909707,2.77979021146371e-06,-7.53394688889454e-06,7.66636139590355e-07,5.71540591879805e-07,NaN,-1.9598006515678e-06,-7.71262692660974e-07,3.24890293335045e-07,1.42135193807273e-06,-1.14716486115099e-07,-8.78750753079685e-07,2.54653091917116e-07,-5.33088985533961e-07,-3.98778164997193e-06,5.18273292080742e-07,-1.73862555598272e-06,-5.5181871242124e-07,-4.62638995934343e-07,4.53880297844306e-07,-1.02841798969056e-06,-7.27416688500233e-08,NaN,-1.43077819253842e-07,-2.19861603939666e-08,-3.71062260007944e-06,-1.0242237122265e-06,-5.06143219672939e-07,1.3485662336058e-06,-2.86689279799783e-07,-4.26133690758299e-07,-2.02163404185457e-07,-2.5949301826503e-07,1.87177920193707e-06,-2.84686928490411e-06,NaN,2.03444868088026,NaN,NaN,-1.14113636576929,0.397683021060191,-1.37325194435994,-1.98766592468479,-2.96264519261756,0.0408527600409734,2.17702118791316,1.12956682741197,-0.477507890885204
FC3,-0.657362511835409,-2.10612764324278,-3.52297061021355,-3.07166422814168,-1.89531730994996,-2.00794112201801,-2.02092364111746,-1.4862345337697,-0.135895961909055,-2.8198440000851,-1.93400950839471,-3.41200688153957,-0.0135729508250883,-2.66527574169397,-2.64157921630852,NaN,NaN,-0.505242658327475,-1.94862505010817,-3.51413820989522,-3.37231012531603,-2.95176543800812,-0.135855549249111,-0.985634984910365,1.25117613118624,-1.20304567814797,-1.46615842484533,-3.47622471291459,-2.74327000665681,-0.1218547159947,-0.944338824755202,-0.960603701957109,-3.40491810528248,-0.928115233919094,-3.50765565511855,-1.74747393127869,-3.65555429050555,-1.22902866851823,-1.94164788870259,-0.79223465575893,-1.93647356290897,-1.52309065182091,-0.985305034416309,1.10945484909295,-3.53278057091996,-3.68974375248612,-0.105093050295277,-3.84879334630142,-2.85198389466169,-0.454270283289423,-3.24077237516574,-3.60394562159206,-1.55970413796604,-2.018520167549,-3.07273059750435,-1.87508176002667e-06,-0.772868697616187,-0.207359559406827,-0.588040583169206,-0.9391224735791,-2.89980580259279,-0.804580264547202,-1.8611635045346,-1.53518036949996,0.101543026157434,0.190676201548841,3.03221558382457e-06,-7.69921408222575e-06,1.04035550390223e-06,7.2973161231746e-07,NaN,-2.17318745560585e-06,-6.54175410568831e-07,-5.59926580434578e-07,1.37095807476821e-06,2.64839995967384e-07,-9.65878650972765e-07,3.51147766849043e-07,-6.72703735786358e-07,-4.29553185888449e-06,6.60502115392164e-07,-2.53938413515808e-06,-3.09324498405944e-07,-5.74564218694311e-07,8.23089977158685e-07,-8.77128146922504e-07,-2.57171930202538e-07,-2.67632211385186e-06,-4.74606667345302e-07,1.48308372586204e-08,NaN,-1.07545840526682e-06,NaN,1.66652599534442e-06,-3.13024962695882e-07,-5.2538511669144e-07,-2.94947933659187e-07,-4.25814070495383e-07,1.7833796685333e-06,-2.8296699760233e-06,1.33373026385435,1.8476263804832,0.0386890085725012,-1.54750925800403,-1.49420972939304,0.0510446808544979,-1.96845052063359,-2.34762632769856,-3.58275011991702,-0.236004932481147,2.11742118617717,0.878481563926321,-0.868506750935101
